rank,rank_score,score_delta,margin_pct_mid,recommendation,worth_considering,confidence,analysis_mode,address,price,land_size_sqm,beds,baths,cars,reno_level,reno_cost_low_aud,reno_cost_high_aud,arv_low_aud,arv_high_aud,gross_margin_low_aud,gross_margin_high_aud,oth_cma_aud,oth_cma_pct,oth_cma_group,oth_cma_n,listing_url,listing_url_verified,listing_url_note,top_reasons,deal_breakers,analysed_at,from_cache
11,59,NEW,6.5%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"21 Outrigger Drive, Mulambin, QLD 4703","$779,000",890,4,2,2,COSMETIC,30000,60000,850000,900000,11000,91000,985134,+26.5%,4+bed 2+bath,13,https://www.realestate.com.au/property/21-outrigger-dr-mulambin-qld-4703/,True,Exact street address verified from the URL or listing-page metadata.,Strong land size of 890 sqm with side access | Attractive entry price relative to automated valuations | Low vacancy rate in the suburb supports long-term holding,Significant structural defects identified in a future building report,2026-08-05T12:06:19+00:00,False
12,58,NEW,37.7%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"10 Orana Street, Milang, SA 5256","$385,000",1047,2,1,3,MAJOR,120000,200000,650000,730000,65000,225000,,,,,https://raywhitemtbarker.com.au/properties/residential-for-sale/sa/milang-5256/house/3553739,True,Exact street address verified from the URL or listing-page metadata.,Exceptional land size and corner allotment potential. | Strong local market demand and low vacancy. | Significant value-add potential through development or major renovation.,Potential non-compliance of the existing structure as a residential dwelling. | High cost of bringing a shed-style structure to modern residential standards.,2026-08-05T12:05:34+00:00,False
13,56,0,17.9%,REVIEW,True,HIGH,EVIDENCE_PIPELINE,"45 Faversham Street, Beckenham, WA 6107","$649,000",400,3,1,4,ALREADY_RENOVATED,,10000,750000,800000,91000,141000,803470,+23.8%,3-bed 1-bath,14,https://www.realestate.com.au/property/45-faversham-st-beckenham-wa-6107/,True,Exact street address verified from the URL or listing-page metadata.,High-quality renovation reduces immediate capital expenditure requirements | Strong rental yield and low vacancy in the area | Attractive entry price point relative to automated valuations,Tenancy until September 2026 prevents immediate move-in,2026-07-30T03:39:08+00:00,True
14,55,NEW,4.8%,REVIEW,True,HIGH,EVIDENCE_PIPELINE,"4 Donna Street, Morley, WA 6062","$799,000",348,4,1,2,COSMETIC,25000,50000,850000,900000,1000,76000,1057011,+32.3%,4+bed 1-bath,3,https://www.realestate.com.au/property/4-donna-st-morley-wa-6062/,True,Exact street address verified from the URL or listing-page metadata.,Strong market metrics in Morley | Solid construction and recent cosmetic updates | Clear value-add opportunity in the kitchen,,2026-08-05T12:02:48+00:00,False
15,51,11,18.5%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"69 River Avenue, Merbein, VIC 3505","$308,000",1348,3,1,2,MAJOR,120000,200000,500000,550000,-8000,122000,392822,+27.5%,3-bed 1-bath,8,https://www.realestate.com.au/property/69-river-ave-merbein-vic-3505/,True,Exact street address verified from the URL or listing-page metadata.,Large land size offers long-term value. | Potential for 4th bedroom conversion. | Significant renovation required increases risk.,Confirmed history of termite damage. | High cost of structural repairs may erode margins.,2026-08-05T12:13:10+00:00,False
16,49,0,12.3%,REVIEW,True,HIGH,EVIDENCE_PIPELINE,"9 Lelant Street, Trentham, VIC 3458","$799,500",775,3,2,2,COSMETIC,25000,60000,900000,980000,40500,155500,1047333,+31.0%,3-bed 2+bath,6,https://www.realestate.com.au/property/9-lelant-st-trentham-vic-3458/,True,Exact street address verified from the URL or listing-page metadata.,Strong land size relative to comparables | Unique character appeal | Well-maintained current condition | Attractive entry price point,Unforeseen structural issues related to the industrial conversion | Restrictive bushfire overlay requirements,2026-08-04T04:01:00+00:00,True
17,48,0,3.2%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"19 Panter Street, Willaston, SA 5118","$630,000",911,3,1,2,COSMETIC,30000,60000,680000,710000,-10000,50000,695648,+10.4%,3-bed 1-bath,4,https://www.realestate.com.au/property/19-panter-st-willaston-sa-5118/,True,Exact street address verified from the URL or listing-page metadata.,Large land size provides long-term value | Strong local market demand | Potential for cosmetic improvements to add value,Transportable home construction may limit financing or insurance options,2026-08-04T03:59:59+00:00,True
18,48,NEW,21.1%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"22 Iberia Street, Cervantes, WA 6511","$475,000",1012,3,1,2,MAJOR,100000,180000,680000,750000,25000,175000,577189,+21.5%,3-bed 1-bath,5,https://www.realestate.com.au/property/22-iberia-st-cervantes-wa-6511/,True,Exact street address verified from the URL or listing-page metadata.,Large land parcel in a desirable coastal location. | Strong market demand in Cervantes. | Significant potential for value-add through renovation.,Structural issues identified during inspection. | Unforeseen high costs for non-brick construction maintenance.,2026-08-05T11:54:19+00:00,False
19,47,0,,REVIEW,True,HIGH,EVIDENCE_PIPELINE,"16 Highland Avenue, Gleneagle, QLD 4285","$799,000",480,4,2,2,ALREADY_RENOVATED,,,810000,860000,,,891648,+11.6%,4+bed 2+bath,13,https://www.realestate.com.au/property/16-highland-ave-gleneagle-qld-4285/,True,Exact street address verified from the URL or listing-page metadata.,"Modern, well-presented property with no immediate renovation required | Competitive entry price relative to recent comparable sales | Located in a stable market with low vacancy rates",,2026-08-04T04:00:29+00:00,True
20,45,0,10.8%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"10 Rose Street, Bridgetown, WA 6255","$600,000",684,2,1,1,MODERATE,40000,80000,700000,750000,20000,110000,,,,,https://www.realestate.com.au/property/10-rose-st-bridgetown-wa-6255/,True,Exact street address verified from the URL or listing-page metadata.,Strong market demand in Bridgetown | Character appeal and corner block utility | Potential to add value through cosmetic renovation,High cost of structural repairs if found during inspection | Limited upside if renovation costs exceed $80k,2026-08-03T03:02:52+00:00,True
21,45,NEW,5.2%,REVIEW,True,MEDIUM,EVIDENCE_PIPELINE,"29 Pelsaert Avenue, Fairview Park, SA 5126","$775,000",306,4,1,2,COSMETIC,40000,80000,850000,900000,-5000,85000,1046180,+35.0%,4+bed (all baths),5,https://www.realestate.com.au/property/29-pelsaert-ave-fairview-park-sa-5126/,True,Exact street address verified from the URL or listing-page metadata.,Strong market metrics in Fairview Park | Immaculate presentation reduces immediate repair risk | Good parking infrastructure,High entry price relative to recent 4-bedroom sales,2026-08-05T11:55:43+00:00,False
22,45,NEW,-3.8%,REVIEW,True,HIGH,EVIDENCE_PIPELINE,"6 Sheepfold Court, Melton West, VIC 3337","$525,000",868,3,1,1,MODERATE,70000,120000,580000,620000,-65000,25000,527127,+0.4%,3-bed 1-bath,4,https://www.realestate.com.au/property/6-sheepfold-ct-melton-west-vic-3337/,True,Exact street address verified from the URL or listing-page metadata.,Large land size (868sqm) is a significant asset in the area. | Solid brick construction provides a good base for renovation. | Quiet court location is desirable for families.,Tight gross margins suggest limited profit potential for a pure renovation flip.,2026-08-05T12:02:18+00:00,False
23,44,NEW,11.4%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"8 Warr Street, Pinjarra, WA 6208","$599,000",1093,3,1,2,COSMETIC,25000,50000,680000,730000,31000,106000,711747,+18.8%,3-bed 1-bath,5,https://www.realestate.com.au/property/8-warr-st-pinjarra-wa-6208/,True,Exact street address verified from the URL or listing-page metadata.,"Large 1,093 sqm block provides significant land value. | Strong market metrics in Pinjarra. | Detached studio adds versatility. | Entry price is attractive relative to recent 4-bed sales.",Potential unapproved works in the detached studio. | Structural risks associated with non-brick construction.,2026-08-05T12:00:27+00:00,False
24,43,0,11.7%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"11 Muntz Court, Shepparton, VIC 3630","$385,000",628,3,1,1,MODERATE,70000,120000,500000,550000,-5000,95000,475401,+23.5%,3-bed 1-bath,7,https://www.realestate.com.au/property/11-muntz-ct-shepparton-vic-3630/,True,Exact street address verified from the URL or listing-page metadata.,Attractive corner block size | Solid brick construction | Potential for value-add through renovation,Flood overlay may restrict future development or increase insurance costs,2026-08-01T08:58:29+00:00,True
25,43,NEW,1.7%,PASS,True,HIGH,EVIDENCE_PIPELINE,"5 Egret Crescent, Condon, QLD 4815","$499,000",809,3,1,1,MODERATE,70000,120000,580000,625000,-39000,56000,640033,+28.3%,3-bed 1-bath,8,https://www.aussie.com.au/property/qld/condon-4815/5-egret-crescent/,True,Exact street address verified from the URL or listing-page metadata.,Large 809 sqm block provides good land value. | Strong comparable sales for renovated homes in the immediate area. | Solid brick construction.,Small 90 sqm floor plan limits internal reconfiguration potential.,2026-08-05T11:57:48+00:00,False
26,43,0,8.3%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"77 Gungurru Avenue, Hocking, WA 6065","$799,000",357,3,2,4,MODERATE,40000,80000,900000,950000,21000,111000,881746,+10.4%,3-bed 2+bath,5,https://www.realestate.com.au/property/77-gungurru-ave-hocking-wa-6065/,True,Exact street address verified from the URL or listing-page metadata.,Strong market demand in Hocking | Entry price is attractive relative to recent sales | Well-maintained condition reduces immediate repair risk,Potential strata/grouped dwelling restrictions on future development,2026-08-04T03:58:16+00:00,True
27,42,NEW,9.7%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"29 Swift Street, Frankston, VIC 3199","$720,000",770,3,1,6,MAJOR,100000,180000,900000,960000,,140000,819484,+13.8%,3-bed 1-bath,6,https://www.realestate.com.au/property/29-swift-st-frankston-vic-3199/,True,Exact street address verified from the URL or listing-page metadata.,Strong land size of 770 sqm | Attractive entry price relative to automated valuations | Good potential for value-add through renovation,Potential for significant structural issues given the construction type | Uncertainty regarding the legality of the workshop/office structures,2026-08-05T12:04:29+00:00,False
28,42,0,17.6%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"67 Mary Street, Cygnet, TAS 7112","$595,000",1245,7,,,UNKNOWN,50000,150000,750000,850000,5000,205000,920976,+54.8%,4+bed 2+bath,4,https://www.realestate.com.au/property/67-mary-st-cygnet-tas-7112/,True,Exact street address verified from the URL or listing-page metadata.,Large land size offers long-term value | Strong local market demand | Potential for high-yield configuration due to bedroom count,Significant structural defects in timber frame | Unapproved building works,2026-08-03T03:01:32+00:00,True
29,40,0,-2.9%,PASS,True,HIGH,EVIDENCE_PIPELINE,"6 Charles Street, Naracoorte, SA 5271","$340,000",755,3,1,,MODERATE,70000,120000,395000,455000,-65000,45000,433316,+27.4%,3-bed 1-bath,10,https://www.realestate.com.au/property/6-charles-st-naracoorte-sa-5271/,True,Exact street address verified from the URL or listing-page metadata.,Strong market metrics in Naracoorte | Good land size of 755 sqm | Clear potential for cosmetic value-add through kitchen and bathroom renovation,Lack of parking space may be a significant deterrent for some buyers | Tight gross margin requires strict cost control,2026-08-03T03:03:17+00:00,True
30,39,NEW,7.3%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"268 Petherton Road, Andrews Farm, SA 5114","$599,000",320,3,2,1,COSMETIC,25000,60000,670000,700000,11000,76000,670397,+11.9%,3-bed 2+bath,7,https://www.realestate.com.au/property/268-petherton-rd-andrews-farm-sa-5114/,True,Exact street address verified from the URL or listing-page metadata.,Solid location in a stable market | Good existing layout with 2 bathrooms | Potential for cosmetic value-add,Tenancy prevents immediate access for inspection | Tight gross margin relative to renovation costs,2026-08-05T11:53:50+00:00,False
31,39,0,15.7%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"9 Harkin Court, Alma, VIC 3465","$415,000",30500,3,1,2,MODERATE,70000,120000,550000,600000,15000,115000,,,,,https://www.realestate.com.au/property/9-harkin-ct-alma-vic-3465/,True,Exact street address verified from the URL or listing-page metadata.,Attractive entry price relative to renovated sales | Large land holding | Clear scope for cosmetic improvement,Major structural defects | Failed septic system,2026-07-30T03:39:34+00:00,True
32,38,0,7.8%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"21 Markham Street, Heywood, VIC 3304","$255,000",1022,4,1,1,MAJOR,90000,150000,380000,410000,-25000,65000,613545,+140.6%,4+bed (all baths),2,https://www.realestate.com.au/property/21-markham-st-heywood-vic-3304/,True,Exact street address verified from the URL or listing-page metadata.,Large land size offers long-term value. | Potential for value-add through renovation. | Market is stable with low vacancy.,High renovation costs relative to local price ceiling. | Potential for significant structural defects due to age.,2026-07-30T10:00:57+00:00,True
33,38,NEW,17.3%,PASS,True,HIGH,EVIDENCE_PIPELINE,"27 Bernice Way, Thornlie, WA 6108","$650,000",501,4,1,2,ALREADY_RENOVATED,15000,30000,750000,820000,70000,155000,790811,+21.7%,4+bed 1-bath,3,https://www.realestate.com.au/property/27-bernice-way-thornlie-wa-6108/,True,Exact street address verified from the URL or listing-page metadata.,Strong market metrics in Thornlie | Property is move-in ready with recent updates | Attractive entry price point relative to median values,None identified based on current evidence,2026-08-05T12:11:00+00:00,False
34,38,NEW,12.7%,PASS,True,HIGH,EVIDENCE_PIPELINE,"29 Winslow Brace, Alkimos, WA 6038","$759,000",351,4,2,2,ALREADY_RENOVATED,,,840000,870000,81000,111000,857556,+13.0%,4+bed 2+bath,9,https://www.aussie.com.au/property/wa/alkimos-6038/29-winslow-brace/,True,Exact street address verified from the URL or listing-page metadata.,"Strong market metrics in Alkimos | Attractive entry price relative to recent comparable sales | Property is modern and well-presented, requiring minimal immediate capital expenditure",Heritage overlay restrictions must be fully understood before proceeding,2026-08-05T11:58:22+00:00,False
35,38,NEW,35.1%,PASS,True,HIGH,EVIDENCE_PIPELINE,"4 Ribbonwood Rd, Bonnie Brook, VIC 3335","$444,000",350,4,2,2,ALREADY_RENOVATED,,,580000,620000,136000,176000,662542,+49.2%,4+bed 2+bath,12,,False,"The returned URL could not be independently matched to this exact address, so it was suppressed.",Attractive entry price relative to comparable sales | Brand new condition minimizes immediate capital expenditure | Strong potential for capital growth in a developing area,None identified; standard due diligence required,2026-08-05T12:04:56+00:00,False
36,38,NEW,0.0%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"8 Milton Drive, Wyndham Vale, VIC 3024","$505,000",562,4,1,1,MODERATE,70000,120000,580000,620000,-45000,45000,564476,+11.8%,4+bed 1-bath,2,https://www.realestate.com.au/property/8-milton-dr-wyndham-vale-vic-3024/,True,Exact street address verified from the URL or listing-page metadata.,Attractive entry price relative to automated valuations | Standard block size suitable for the area | Potential for value-add through cosmetic renovation,Significant structural defects identified during inspection | Unresolvable planning or drainage constraints,2026-08-05T11:55:15+00:00,False
37,38,0,6.2%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"82 Hat Hill Road, Blackheath, NSW 2785","$720,000",557,3,1,1,MAJOR,90000,150000,850000,920000,-20000,110000,929039,+29.0%,3-bed 1-bath,10,https://www.realestate.com.au/property/82-hat-hill-rd-blackheath-nsw-2785/,True,Exact street address verified from the URL or listing-page metadata.,Attractive entry price for the area | Charming original features | Tight gross margin due to renovation costs | Small land size limits upside,Structural failure of the rear extension | Prohibitive costs to meet bushfire compliance,2026-08-04T03:59:31+00:00,True
38,38,0,41.6%,PASS,True,HIGH,EVIDENCE_PIPELINE,"9 Railway Street, Gloucester, NSW 2422","$399,000",739,3,1,1,ALREADY_RENOVATED,,,550000,580000,151000,181000,575770,+44.3%,3-bed 1-bath,8,https://www.realestate.com.au/property/9-railway-st-gloucester-nsw-2422/,True,Exact street address verified from the URL or listing-page metadata.,"Significant price gap between guide and comparable sales | Property is presented as move-in ready, reducing immediate renovation risk | Good land size for the area",Potential for high maintenance costs associated with older weatherboard construction | Lack of 4-bedroom conversion potential,2026-08-03T03:01:59+00:00,True
39,38,0,79.8%,PASS,True,HIGH,EVIDENCE_PIPELINE,"96 George Lane, Rockhampton City, QLD 4700","$299,000",396,3,1,1,ALREADY_RENOVATED,,10000,520000,575000,211000,266000,464565,+55.4%,3-bed 1-bath,14,https://www.realestate.com.au/property/96-george-lane-rockhampton-city-qld-4700/,True,Exact street address verified from the URL or listing-page metadata.,"Strong entry price relative to renovated market values | Property is already renovated, reducing immediate capital expenditure risk | Good location in a market that rewards renovated character homes","None identified, provided building and pest inspection is clear",2026-07-31T09:18:39+00:00,True
40,37,0,26.6%,PASS,False,HIGH,EVIDENCE_PIPELINE,"6 Lucas Street, Berserker, QLD 4701","$399,000",405,3,1,1,ALREADY_RENOVATED,,15000,500000,540000,86000,126000,602164,+50.9%,3-bed 1-bath,9,https://www.realestate.com.au/property/6-lucas-st-berserker-qld-4701/,True,Exact street address verified from the URL or listing-page metadata.,"Property is already renovated, leaving little value-add potential. | Long-term lease until 2027 prevents immediate renovation or resale. | Limited land size restricts development potential.",Tenancy until February 2027 makes this unsuitable for a short-term renovation strategy.,2026-07-31T09:19:28+00:00,True
41,35,NEW,9.0%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"10 Paneminner Street, Dodges Ferry, TAS 7173","$569,000",634,4,2,5,MAJOR,90000,150000,700000,780000,-19000,121000,1020228,+79.3%,4+bed 2+bath,4,https://www.realestate.com.au/property/10-paneminner-st-dodges-ferry-tas-7173/,True,Exact street address verified from the URL or listing-page metadata.,Strong location near beaches | High market demand in Dodges Ferry | Significant value-add potential through functional layout improvement,External bathroom/laundry configuration is a major functional and potential compliance risk | Small building footprint limits internal reconfiguration options,2026-08-05T12:11:29+00:00,False
42,35,NEW,-2.4%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"14 Pullar Street, Kyabram, VIC 3620","$415,000",920,3,1,2,MODERATE,70000,120000,480000,520000,-55000,35000,423970,+2.2%,3-bed 1-bath,6,https://www.realestate.com.au/property/14-pullar-st-kyabram-vic-3620/,True,Exact street address verified from the URL or listing-page metadata.,Large 920 sqm block provides good long-term value. | Strong rental market metrics in Kyabram. | Existing shed and solar infrastructure add value.,High renovation costs relative to potential resale value. | No clear path to 4-bedroom conversion.,2026-08-05T12:10:20+00:00,False
43,35,NEW,-2.3%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"19 Warbrook Place, Coodanup, WA 6210","$650,000",752,4,1,,MODERATE,,,680000,720000,-50000,20000,821005,+26.3%,4+bed (all baths),3,https://www.realestate.com.au/property/19-warbrook-pl-coodanup-wa-6210/,True,Exact street address verified from the URL or listing-page metadata.,Large corner block offers long-term potential | Strong local rental market metrics | Entry price is competitive,Lack of parking is a significant functional issue | Small building footprint (100 sqm) for a 4-bedroom house,2026-08-05T11:56:41+00:00,False
44,33,NEW,12.7%,PASS,True,HIGH,EVIDENCE_PIPELINE,"11 Kobada Avenue, Lilli Pilli, NSW 2536","$785,000",697,4,2,2,ALREADY_RENOVATED,,,850000,920000,65000,135000,871902,+11.1%,4+bed 2+bath,2,https://www.realestate.com.au/property/11-kobada-ave-lilli-pilli-nsw-2536/,True,Exact street address verified from the URL or listing-page metadata.,Strong market demand in Lilli Pilli | Property is already renovated and move-in ready | Attractive reserve-backing location | Competitive entry price relative to recent sales,Potential unapproved works in recent renovations | Timber cladding maintenance requirements,2026-08-05T11:58:48+00:00,False
45,33,NEW,7.2%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"12 Loud Street, Old Noarlunga, SA 5168","$695,000",1043,3,1,4,MODERATE,80000,140000,830000,880000,-5000,105000,823136,+18.4%,3-bed 1-bath,7,https://www.realestate.com.au/property/12-loud-st-old-noarlunga-sa-5168/,True,Exact street address verified from the URL or listing-page metadata.,Large land parcel with subdivision potential | Strong suburb market metrics | Entry price allows for renovation budget,Transportable construction may limit resale appeal compared to brick homes | Small existing floor area restricts internal living space,2026-08-05T12:06:50+00:00,False
46,33,NEW,9.6%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"22B Waltham Way, Morley, WA 6062","$689,000",456,2,1,2,COSMETIC,30000,60000,780000,820000,31000,101000,,,,,,False,"The returned URL could not be independently matched to this exact address, so it was suppressed.",Strong market demand in Morley | Attractive entry price relative to renovated comparables | Good land size for a duplex,Strata restrictions preventing planned renovations | Significant structural defects found during inspection,2026-08-05T12:09:35+00:00,False
47,32,NEW,4.5%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"1 Lombadina Parade, Secret Harbour, WA 6173","$749,000",436,4,2,2,UNKNOWN,25000,60000,800000,850000,-9000,76000,1044108,+39.4%,4+bed 2+bath,12,https://www.realestate.com.au/property/1-lombadina-pde-secret-harbour-wa-6173/,True,Exact street address verified from the URL or listing-page metadata.,Competitive entry price relative to recent 4-bedroom sales | Strong local market metrics and low vacancy | Corner block provides good access and potential,Potential for small room sizes given the 130 sqm building footprint | Lack of internal condition evidence,2026-08-05T12:04:03+00:00,False
48,30,0,-1.8%,PASS,True,HIGH,EVIDENCE_PIPELINE,"54 Cambridge Crescent, Werribee, VIC 3030","$550,000",537,3,1,2,MODERATE,70000,120000,620000,650000,-50000,30000,581170,+5.7%,3-bed 1-bath,6,https://www.aussie.com.au/property/vic/werribee-3030/54-cambridge-crescent/,True,Exact street address verified from the URL or listing-page metadata.,Solid brick construction | Good land size | Stable local market,Limited potential for value-add through bedroom conversion | Tight gross margins,2026-08-03T03:02:24+00:00,True
49,29,-9,1.0%,PASS,True,HIGH,EVIDENCE_PIPELINE,"10 Bell Street, Blackheath, NSW 2785","$720,000",702,2,1,,COSMETIC,30000,65000,750000,800000,-35000,50000,,,,,https://www.realestate.com.au/property/10-bell-st-blackheath-nsw-2785/,True,Exact street address verified from the URL or listing-page metadata.,Solid entry-level price point | Well-maintained condition reduces immediate major repair risks | Good land size for the area,Lack of off-street parking may be a significant barrier for some buyers,2026-08-05T12:12:32+00:00,False
50,28,0,-1.0%,PASS,True,MEDIUM,EVIDENCE_PIPELINE,"24 Amethyst Crescent, Mount Richon, WA 6112","$750,000",717,3,1,2,MODERATE,,,780000,830000,-45000,30000,759466,+1.3%,3-bed 1-bath,2,https://www.onthehouse.com.au/property/wa/mount-richon-6112/24-amethyst-cres-mount-richon-wa-6112-8675068,True,Exact street address verified from the URL or listing-page metadata.,Solid land size in a desirable hills location | Potential for cosmetic value-add | Healthy local market metrics,Small building footprint limits major expansion | Unknown condition of wet areas and structural elements,2026-08-04T03:57:42+00:00,True
